epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,9358.55,0.53733,0.4507,0.9644,0.93198,0.8892,0.94459,0.82896,0.54981,0.57762,1.00267,0.000614,0.000614,0.000614
58,9463.02,0.51867,0.43356,0.96468,0.93302,0.88752,0.94725,0.83194,0.53443,0.53571,1.00379,0.00058925,0.00058925,0.00058925
59,9568.5,0.52531,0.44436,0.96684,0.92069,0.90859,0.94524,0.82707,0.51327,0.57697,0.98686,0.0005645,0.0005645,0.0005645
60,9674.19,0.52556,0.4511,0.96799,0.92278,0.89376,0.94727,0.82956,0.53564,0.54516,0.99485,0.00053975,0.00053975,0.00053975
61,9778.52,0.52021,0.44385,0.97252,0.90892,0.91225,0.94506,0.83569,0.51261,0.53356,0.99278,0.000515,0.000515,0.000515
62,9883.35,0.53325,0.44478,0.97583,0.90711,0.91967,0.94243,0.82409,0.51559,0.58877,0.97788,0.00049025,0.00049025,0.00049025
63,9987.77,0.50855,0.45117,0.95702,0.92117,0.90305,0.94254,0.83361,0.52106,0.54123,0.98025,0.0004655,0.0004655,0.0004655
64,10092.1,0.50973,0.44612,0.9584,0.9106,0.92244,0.94436,0.83252,0.5232,0.51806,0.98216,0.00044075,0.00044075,0.00044075
65,10198.5,0.52136,0.47251,0.96314,0.93284,0.8892,0.94311,0.83651,0.5175,0.54474,0.97457,0.000416,0.000416,0.000416
66,10311.4,0.507,0.43223,0.97796,0.9265,0.90028,0.95174,0.84528,0.51151,0.5092,0.97433,0.00039125,0.00039125,0.00039125
67,10425.7,0.50711,0.46592,0.95833,0.9192,0.90859,0.94452,0.84793,0.50337,0.53305,0.96621,0.0003665,0.0003665,0.0003665
68,10538.7,0.50472,0.42971,0.95957,0.92892,0.90497,0.94323,0.83835,0.50999,0.50821,0.9682,0.00034175,0.00034175,0.00034175
69,10653.1,0.50812,0.43196,0.9572,0.92322,0.90305,0.94856,0.84817,0.49654,0.49464,0.95961,0.000317,0.000317,0.000317
