epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,4043.7,0.43938,0.34425,0.85248,0.93116,0.88548,0.94188,0.84651,0.47759,0.50367,0.88425,0.000783933,0.000783933,0.000783933
88,4085.12,0.43319,0.33741,0.85343,0.92003,0.88262,0.94129,0.84262,0.47524,0.49305,0.88483,0.000763797,0.000763797,0.000763797
89,4126.76,0.42249,0.3422,0.84985,0.91018,0.89213,0.93693,0.83783,0.49785,0.52024,0.89441,0.000743769,0.000743769,0.000743769
90,4165.27,0.43822,0.34388,0.85406,0.91542,0.90401,0.9421,0.84727,0.49634,0.51674,0.90097,0.000723859,0.000723859,0.000723859
91,4203.51,0.42239,0.34279,0.8525,0.92938,0.89121,0.9418,0.84842,0.47982,0.49218,0.89728,0.000704073,0.000704073,0.000704073
92,4244.56,0.41268,0.33245,0.85115,0.91557,0.90567,0.94423,0.85154,0.46639,0.47883,0.88275,0.000684422,0.000684422,0.000684422
93,4286.85,0.42645,0.33975,0.84764,0.95201,0.87585,0.9412,0.8444,0.4746,0.50574,0.87463,0.000664914,0.000664914,0.000664914
94,4328.33,0.41425,0.33069,0.84267,0.91995,0.88206,0.94024,0.84549,0.49071,0.48808,0.89974,0.000645557,0.000645557,0.000645557
95,4378.09,0.39922,0.32138,0.84043,0.92825,0.89165,0.9418,0.84155,0.49122,0.49911,0.89702,0.00062636,0.00062636,0.00062636
96,4420.29,0.41063,0.32286,0.84563,0.91693,0.89842,0.93837,0.84208,0.47721,0.49281,0.88279,0.000607331,0.000607331,0.000607331
97,4458.61,0.40472,0.3173,0.83964,0.9232,0.88262,0.9411,0.84568,0.47818,0.48587,0.88079,0.000588479,0.000588479,0.000588479
98,4498.04,0.39685,0.31901,0.83964,0.94254,0.88875,0.93868,0.855,0.45292,0.48312,0.87385,0.000569811,0.000569811,0.000569811
99,4537.38,0.39626,0.31028,0.84653,0.93436,0.88262,0.94607,0.85939,0.44881,0.44439,0.8634,0.000551337,0.000551337,0.000551337
100,4577.75,0.39665,0.30893,0.8466,0.93921,0.89165,0.93699,0.85323,0.45606,0.48541,0.87878,0.000533064,0.000533064,0.000533064
101,4619.29,0.39421,0.31695,0.83679,0.91855,0.88713,0.93633,0.84973,0.45753,0.50927,0.88341,0.000515,0.000515,0.000515
102,4660.82,0.38885,0.30916,0.84221,0.91075,0.89391,0.94071,0.85391,0.45639,0.4787,0.88417,0.000497153,0.000497153,0.000497153
103,4700.38,0.39049,0.29769,0.84463,0.93072,0.87941,0.94367,0.85093,0.46874,0.48058,0.89046,0.000479531,0.000479531,0.000479531
104,4739.84,0.37698,0.29458,0.83648,0.92769,0.89776,0.93955,0.84678,0.46576,0.48497,0.87988,0.000462142,0.000462142,0.000462142
105,4783.18,0.38183,0.28769,0.83689,0.93111,0.91648,0.94158,0.85612,0.45974,0.46516,0.89214,0.000444994,0.000444994,0.000444994
106,4824.88,0.38328,0.30008,0.83983,0.92331,0.90293,0.94021,0.84999,0.45353,0.47438,0.87965,0.000428093,0.000428093,0.000428093
107,4866.04,0.36386,0.29047,0.83374,0.93205,0.88713,0.93668,0.85194,0.44549,0.49137,0.87637,0.000411447,0.000411447,0.000411447
108,4910.47,0.37382,0.29483,0.83492,0.92246,0.88625,0.93442,0.8532,0.4371,0.48917,0.86685,0.000395064,0.000395064,0.000395064
109,4949.45,0.37566,0.29756,0.84169,0.9342,0.88713,0.93547,0.84749,0.44667,0.48797,0.87435,0.00037895,0.00037895,0.00037895
110,4990.08,0.37252,0.28756,0.83358,0.93516,0.87899,0.93011,0.84587,0.45006,0.49554,0.88308,0.000363114,0.000363114,0.000363114
111,5033.06,0.36303,0.28461,0.8319,0.92743,0.89616,0.936,0.84962,0.44896,0.47924,0.88118,0.000347561,0.000347561,0.000347561
112,5072.61,0.3675,0.28817,0.8311,0.93804,0.88858,0.93714,0.84903,0.44459,0.4874,0.87654,0.000332298,0.000332298,0.000332298
113,5112.22,0.3654,0.28153,0.83182,0.92985,0.87133,0.93841,0.85399,0.42749,0.45785,0.87332,0.000317333,0.000317333,0.000317333
114,5152.57,0.35945,0.27561,0.8264,0.96159,0.8623,0.93629,0.85578,0.43566,0.48148,0.8727,0.000302672,0.000302672,0.000302672
115,5190.59,0.36448,0.28401,0.83014,0.94376,0.87127,0.9359,0.85556,0.44436,0.47527,0.87339,0.000288321,0.000288321,0.000288321
116,5229.46,0.36241,0.28146,0.82416,0.92804,0.87359,0.93148,0.8537,0.42858,0.46612,0.86838,0.000274287,0.000274287,0.000274287
117,5270.25,0.35511,0.275,0.82972,0.94057,0.89311,0.94543,0.86248,0.43457,0.46168,0.86299,0.000260575,0.000260575,0.000260575
118,5310.37,0.3525,0.27275,0.83091,0.93924,0.88939,0.94584,0.8643,0.43462,0.45176,0.87024,0.000247192,0.000247192,0.000247192
119,5355.45,0.35148,0.27545,0.8257,0.93172,0.89328,0.94206,0.86134,0.43915,0.46017,0.87181,0.000234143,0.000234143,0.000234143
120,5398.69,0.34419,0.27059,0.82543,0.93432,0.88488,0.94314,0.86418,0.42974,0.45453,0.86578,0.000221435,0.000221435,0.000221435
121,5440.12,0.34246,0.26803,0.82944,0.94133,0.88488,0.93924,0.86068,0.44395,0.44954,0.87339,0.000209073,0.000209073,0.000209073
122,5481.81,0.34447,0.27371,0.83162,0.94641,0.88036,0.94265,0.85601,0.44528,0.45022,0.88331,0.000197062,0.000197062,0.000197062
123,5522.19,0.34755,0.2638,0.8266,0.94515,0.89466,0.94411,0.85658,0.44918,0.4486,0.88832,0.000185408,0.000185408,0.000185408
124,5561.06,0.34104,0.26084,0.82371,0.95282,0.89391,0.94668,0.86354,0.43187,0.44698,0.87403,0.000174115,0.000174115,0.000174115
125,5599.5,0.34001,0.2657,0.83136,0.93975,0.89842,0.94688,0.86646,0.43143,0.44273,0.87122,0.000163189,0.000163189,0.000163189
126,5650.75,0.33961,0.26112,0.82699,0.94494,0.89104,0.94602,0.86782,0.42453,0.44133,0.86867,0.000152635,0.000152635,0.000152635
127,5693.59,0.33839,0.26531,0.8214,0.93845,0.89482,0.94671,0.86232,0.43617,0.44013,0.87614,0.000142456,0.000142456,0.000142456
128,5731.62,0.32725,0.24839,0.82112,0.94048,0.89166,0.94495,0.86478,0.43193,0.43324,0.87747,0.000132658,0.000132658,0.000132658
129,5772.01,0.3402,0.25755,0.82715,0.93786,0.8858,0.94434,0.8656,0.42274,0.43468,0.87208,0.000123245,0.000123245,0.000123245
130,5811.6,0.32631,0.2514,0.82149,0.93093,0.89842,0.93981,0.86079,0.42118,0.42502,0.87095,0.000114221,0.000114221,0.000114221
