epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,1988.21,0.59369,0.5688,0.93912,0.93268,0.85563,0.95003,0.8095,0.63494,0.56918,0.98239,0.0005744,0.0005744,0.0005744
56,2027.93,0.60615,0.49701,0.95853,0.87442,0.91197,0.95601,0.81498,0.62127,0.58296,0.97111,0.000548,0.000548,0.000548
57,2063.15,0.62338,0.51003,0.97783,0.89933,0.89789,0.95428,0.80779,0.64023,0.5915,0.97368,0.0005216,0.0005216,0.0005216
58,2101.3,0.58429,0.49122,0.94703,0.9083,0.87194,0.95212,0.81293,0.60766,0.59757,0.96275,0.0004952,0.0004952,0.0004952
59,2140.47,0.57977,0.49437,0.94669,0.9344,0.8838,0.95334,0.81795,0.59923,0.58618,0.97943,0.0004688,0.0004688,0.0004688
60,2177.26,0.56031,0.49295,0.9266,0.90983,0.87324,0.94913,0.81151,0.60333,0.57168,0.95748,0.0004424,0.0004424,0.0004424
61,2214.39,0.57952,0.50273,0.93824,0.88657,0.90816,0.9495,0.8115,0.60283,0.56534,0.95819,0.000416,0.000416,0.000416
62,2253.16,0.57722,0.50225,0.95451,0.88316,0.90488,0.94169,0.81472,0.56992,0.61939,0.94293,0.0003896,0.0003896,0.0003896
63,2291.42,0.54733,0.46294,0.91834,0.88778,0.89141,0.94793,0.8249,0.57048,0.57382,0.949,0.0003632,0.0003632,0.0003632
64,2327.22,0.54186,0.45966,0.92286,0.92288,0.8662,0.94649,0.8195,0.55865,0.55504,0.93616,0.0003368,0.0003368,0.0003368
65,2366.94,0.51976,0.47044,0.91987,0.89207,0.90845,0.94859,0.83311,0.55657,0.55528,0.92504,0.0003104,0.0003104,0.0003104
66,2408.75,0.51462,0.49099,0.89421,0.90259,0.87324,0.92996,0.79744,0.59532,0.57203,0.955,0.000284,0.000284,0.000284
67,2443.5,0.51491,0.44383,0.89914,0.89813,0.90028,0.94535,0.80917,0.58551,0.56521,0.95517,0.0002576,0.0002576,0.0002576
68,2481.7,0.49175,0.40798,0.90192,0.89497,0.89437,0.95037,0.81725,0.571,0.55199,0.93778,0.0002312,0.0002312,0.0002312
69,2517.18,0.52026,0.45075,0.89941,0.89156,0.89437,0.94,0.8204,0.54678,0.52154,0.92957,0.0002048,0.0002048,0.0002048
70,2552.77,0.48183,0.40353,0.88475,0.87198,0.91901,0.94067,0.8207,0.52797,0.53267,0.92357,0.0001784,0.0001784,0.0001784
71,2585.83,0.47247,0.38308,0.84395,0.85058,0.92958,0.94829,0.83099,0.53175,0.52524,0.92229,0.000152,0.000152,0.000152
72,2621.61,0.46178,0.37786,0.86657,0.87429,0.90611,0.94845,0.8263,0.53754,0.52498,0.93161,0.0001256,0.0001256,0.0001256
73,2656.87,0.45443,0.37425,0.85396,0.89113,0.89789,0.95178,0.83258,0.52524,0.52176,0.92041,9.92e-05,9.92e-05,9.92e-05
74,2692.17,0.43835,0.36987,0.83888,0.89248,0.90608,0.95301,0.83883,0.52032,0.51232,0.91745,7.28e-05,7.28e-05,7.28e-05
75,2728.14,0.43584,0.35417,0.85061,0.90182,0.90565,0.95534,0.84169,0.52145,0.51099,0.91963,4.64e-05,4.64e-05,4.64e-05
