epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,7860.02,0.85114,0.8472,1.19809,0.85101,0.81371,0.89039,0.69918,0.82794,0.9402,1.24286,0.0012212,0.0012212,0.0012212
61,7995.07,0.84956,0.82289,1.21208,0.88609,0.79888,0.89317,0.70779,0.80223,0.89688,1.23447,0.001208,0.001208,0.001208
62,8130.61,0.85129,0.85127,1.19208,0.87393,0.80168,0.89235,0.70885,0.77835,0.80035,1.21696,0.0011948,0.0011948,0.0011948
63,8264.84,0.87957,0.92273,1.20413,0.85133,0.80447,0.88633,0.69119,0.81322,0.85583,1.25652,0.0011816,0.0011816,0.0011816
64,8399.1,0.8643,0.8804,1.20321,0.85757,0.83799,0.88983,0.71084,0.79055,0.84019,1.2379,0.0011684,0.0011684,0.0011684
65,8534.32,0.80302,0.82139,1.16679,0.87845,0.80753,0.88477,0.70234,0.7559,0.90349,1.19689,0.0011552,0.0011552,0.0011552
66,8668.43,0.82982,0.87317,1.1877,0.89698,0.80263,0.89573,0.70502,0.80036,0.82289,1.24426,0.001142,0.001142,0.001142
67,8802.51,0.85662,0.90225,1.19435,0.8901,0.81441,0.90088,0.7172,0.81117,0.84086,1.23322,0.0011288,0.0011288,0.0011288
68,8937.78,0.82516,0.80954,1.19577,0.92429,0.7905,0.89599,0.71087,0.76645,0.88487,1.197,0.0011156,0.0011156,0.0011156
69,9072.36,0.81346,0.8288,1.16156,0.91204,0.81564,0.90903,0.72634,0.78737,0.76669,1.22784,0.0011024,0.0011024,0.0011024
70,9207.38,0.81215,0.77011,1.16677,0.8857,0.8324,0.90466,0.72813,0.76013,0.79101,1.19412,0.0010892,0.0010892,0.0010892
71,9342.66,0.79593,0.81129,1.14863,0.92277,0.7905,0.89125,0.72425,0.74912,0.85124,1.18911,0.001076,0.001076,0.001076
72,9477.09,0.81983,0.77732,1.17918,0.85231,0.8705,0.90985,0.71658,0.81157,0.77878,1.22554,0.0010628,0.0010628,0.0010628
73,9610.92,0.8048,0.75801,1.16157,0.91446,0.83618,0.91203,0.73163,0.77401,0.73272,1.19493,0.0010496,0.0010496,0.0010496
74,9745.99,0.7843,0.72217,1.1616,0.88577,0.82308,0.89781,0.71158,0.75256,0.82404,1.19387,0.0010364,0.0010364,0.0010364
75,9879.8,0.79344,0.81881,1.15695,0.86955,0.78212,0.87561,0.69249,0.79563,0.82292,1.22051,0.0010232,0.0010232,0.0010232
76,10014.5,0.78625,0.79992,1.16926,0.88564,0.81844,0.90386,0.73422,0.74032,0.80675,1.1752,0.00101,0.00101,0.00101
77,10149.5,0.80636,0.83916,1.1464,0.85128,0.86592,0.89208,0.71651,0.74264,0.7875,1.18211,0.0009968,0.0009968,0.0009968
78,10284.2,0.77156,0.74294,1.14132,0.90192,0.80168,0.90915,0.73798,0.72637,0.77836,1.15012,0.0009836,0.0009836,0.0009836
79,10419.7,0.79889,0.75696,1.15866,0.90145,0.81764,0.89929,0.72821,0.73674,0.8546,1.15944,0.0009704,0.0009704,0.0009704
80,10554.4,0.77759,0.72135,1.13978,0.90231,0.80726,0.91222,0.74018,0.74208,0.75065,1.16728,0.0009572,0.0009572,0.0009572
81,10689.8,0.81942,0.77362,1.17156,0.86675,0.85754,0.9204,0.74269,0.71979,0.77614,1.16813,0.000944,0.000944,0.000944
82,10824.4,0.71697,0.68573,1.0845,0.86977,0.86872,0.91902,0.75079,0.70864,0.72496,1.14648,0.0009308,0.0009308,0.0009308
83,10959.3,0.74072,0.70486,1.10734,0.88561,0.82176,0.91665,0.74257,0.72316,0.73125,1.14101,0.0009176,0.0009176,0.0009176
84,11094,0.74132,0.71305,1.11966,0.85485,0.87193,0.91865,0.74843,0.70816,0.74015,1.13083,0.0009044,0.0009044,0.0009044
85,11228.8,0.73719,0.69305,1.12549,0.8654,0.84916,0.91362,0.751,0.70201,0.78359,1.12439,0.0008912,0.0008912,0.0008912
86,11364.1,0.74344,0.68294,1.11943,0.88312,0.84425,0.91289,0.74769,0.717,0.70758,1.13909,0.000878,0.000878,0.000878
87,11498.4,0.72332,0.70289,1.10899,0.87601,0.86034,0.9139,0.75738,0.69581,0.72267,1.12646,0.0008648,0.0008648,0.0008648
88,11633.4,0.75359,0.7392,1.10921,0.91551,0.84637,0.91698,0.75589,0.69406,0.7355,1.13768,0.0008516,0.0008516,0.0008516
89,11767.7,0.71885,0.69672,1.10412,0.91049,0.83799,0.9098,0.75392,0.70357,0.71414,1.14768,0.0008384,0.0008384,0.0008384
90,11901.5,0.72493,0.68863,1.10562,0.88094,0.84637,0.91759,0.7644,0.68929,0.70714,1.13962,0.0008252,0.0008252,0.0008252
91,12036.1,0.74555,0.67153,1.10248,0.91067,0.82579,0.91928,0.75834,0.67902,0.72132,1.12717,0.000812,0.000812,0.000812
92,12170.4,0.70339,0.60659,1.10019,0.90965,0.82123,0.91887,0.76355,0.68129,0.68918,1.12593,0.0007988,0.0007988,0.0007988
93,12304.5,0.70893,0.64356,1.10392,0.88369,0.86592,0.92427,0.76724,0.68559,0.7392,1.10704,0.0007856,0.0007856,0.0007856
94,12439.1,0.69002,0.6599,1.08485,0.89406,0.87221,0.92806,0.76701,0.68041,0.72711,1.12832,0.0007724,0.0007724,0.0007724
95,12573,0.69096,0.65019,1.08692,0.90111,0.84358,0.91656,0.76439,0.66236,0.7598,1.1025,0.0007592,0.0007592,0.0007592
96,12707.3,0.69536,0.65185,1.08785,0.92273,0.81564,0.92371,0.77159,0.66835,0.70196,1.10607,0.000746,0.000746,0.000746
97,12842.2,0.69446,0.6552,1.08027,0.88898,0.87151,0.93038,0.78057,0.66256,0.65853,1.10366,0.0007328,0.0007328,0.0007328
98,12977.1,0.70693,0.66661,1.10774,0.94306,0.83271,0.93113,0.77628,0.65269,0.68659,1.09479,0.0007196,0.0007196,0.0007196
99,13110.9,0.67986,0.63346,1.08171,0.89574,0.86872,0.92251,0.77426,0.67334,0.67259,1.10607,0.0007064,0.0007064,0.0007064
100,13245.3,0.66828,0.62025,1.07222,0.92172,0.86592,0.94072,0.78693,0.6448,0.65239,1.10173,0.0006932,0.0006932,0.0006932
101,13379.5,0.68511,0.62441,1.08889,0.91078,0.85196,0.93291,0.78709,0.65331,0.6927,1.10269,0.00068,0.00068,0.00068
102,13514.1,0.6511,0.60312,1.04795,0.88362,0.89074,0.93243,0.78677,0.64364,0.63317,1.09362,0.0006668,0.0006668,0.0006668
103,13648.3,0.66222,0.60889,1.05274,0.90329,0.88702,0.93099,0.78292,0.64844,0.67384,1.08676,0.0006536,0.0006536,0.0006536
104,13782.5,0.65444,0.57297,1.05334,0.92648,0.84475,0.93006,0.78154,0.65123,0.63172,1.09468,0.0006404,0.0006404,0.0006404
105,13916.7,0.65742,0.57321,1.05033,0.91761,0.87109,0.9367,0.7913,0.63745,0.59285,1.08065,0.0006272,0.0006272,0.0006272
106,14051.5,0.65666,0.58811,1.05106,0.92697,0.85754,0.94368,0.79785,0.60921,0.68767,1.06125,0.000614,0.000614,0.000614
107,14186,0.62772,0.58647,1.04316,0.93967,0.86872,0.94084,0.79169,0.61105,0.74301,1.06041,0.0006008,0.0006008,0.0006008
108,14319.7,0.62999,0.59084,1.03926,0.90949,0.86313,0.92976,0.79259,0.61581,0.61853,1.04707,0.0005876,0.0005876,0.0005876
109,14454.4,0.63807,0.58251,1.05704,0.89211,0.90223,0.93468,0.79077,0.62293,0.60492,1.05006,0.0005744,0.0005744,0.0005744
110,14589.1,0.64079,0.55869,1.04706,0.90674,0.8743,0.93152,0.78823,0.61048,0.6388,1.07364,0.0005612,0.0005612,0.0005612
111,14723.6,0.61258,0.53679,1.03192,0.9181,0.87676,0.93255,0.78819,0.62816,0.60488,1.06929,0.000548,0.000548,0.000548
